//Headphone name, Frequency, 90 dB SPL, 100 db SPL
Headphones 1,10,18.9818,5.5724
Headphones 2,10,9.9776,3.363
Headphones 1,10.072,18.1914,5.4852
Headphones 2,10.072,9.6026,3.2736
Headphones 1,10.145,17.2086,5.37
Headphones 2,10.145,9.2598,3.1946
Headphones 1,10.219,16.088,5.2346
Headphones 2,10.219,9.0026,3.1336
Headphones 1,10.293,14.8286,5.1046
Headphones 2,10.293,8.8472,3.0934
Headphones 1,10.368,13.468,4.9916
Headphones 2,10.368,8.7936,3.0762
Headphones 1,10.443,12.1552,4.8852
Headphones 2,10.443,8.8644,3.0786
Headphones 1,10.518,10.9946,4.7874
Headphones 2,10.518,9.0478,3.0938
Headphones 1,10.595,10.0708,4.6982
Headphones 2,10.595,9.3024,3.116
Headphones 1,10.671,9.4224,4.611
Headphones 2,10.671,9.5718,3.1392
Headphones 1,10.749,9.0426,4.5352
Headphones 2,10.749,9.7904,3.1602
Headphones 1,10.827,8.9218,4.4746
Headphones 2,10.827,9.9314,3.1812
Headphones 1,10.905,9.0556,4.4278
Headphones 2,10.905,9.9866,3.2026
Headphones 1,10.984,9.4458,4.4082
Headphones 2,10.984,9.9632,3.2276
Headphones 1,11.064,10.0448,4.4264
Headphones 2,11.064,9.8668,3.257
Headphones 1,11.144,10.873,4.4892
Headphones 2,11.144,9.7084,3.2898
Headphones 1,11.225,11.9212,4.5948
Headphones 2,11.225,9.5128,3.324
Headphones 1,11.306,13.1518,4.7232
Headphones 2,11.306,9.3054,3.3576
Headphones 1,11.388,14.4868,4.8488
Headphones 2,11.388,9.1022,3.3848
Headphones 1,11.47,15.9116,4.9534
Headphones 2,11.47,8.8976,3.4
Headphones 1,11.554,17.3434,5.0252
Headphones 2,11.554,8.6932,3.397
Headphones 1,11.637,18.6214,5.0644
Headphones 2,11.637,8.4878,3.3696
Headphones 1,11.722,19.5544,5.0742
Headphones 2,11.722,8.2832,3.3132
Headphones 1,11.807,19.9894,5.0418
Headphones 2,11.807,8.081,3.2264
Headphones 1,11.892,19.908,4.9628
Headphones 2,11.892,7.8734,3.1102
Headphones 1,11.978,19.37,4.8478
Headphones 2,11.978,7.6542,2.9706
Headphones 1,12.065,18.4816,4.7104
Headphones 2,12.065,7.4218,2.8168
Headphones 1,12.152,17.35,4.5722
Headphones 2,12.152,7.1844,2.66
Headphones 1,12.241,16.0638,4.4426
Headphones 2,12.241,6.9628,2.5142
Headphones 1,12.329,14.7406,4.3204
Headphones 2,12.329,6.7716,2.3912
Headphones 1,12.419,13.468,4.204
Headphones 2,12.419,6.6122,2.3022
Headphones 1,12.509,12.3066,4.0876
Headphones 2,12.509,6.4832,2.2542
Headphones 1,12.599,11.3342,3.9816
Headphones 2,12.599,6.3832,2.2506
Headphones 1,12.69,10.6366,3.8864
Headphones 2,12.69,6.3202,2.2894
Headphones 1,12.782,10.2536,3.801
Headphones 2,12.782,6.3066,2.3564
Headphones 1,12.875,10.0298,3.7246
Headphones 2,12.875,6.3512,2.4362
Headphones 1,12.968,9.8196,3.6556
Headphones 2,12.968,6.466,2.5124
Headphones 1,13.062,9.593,3.6042
Headphones 2,13.062,6.668,2.572
Headphones 1,13.157,9.3394,3.5766
Headphones 2,13.157,6.9704,2.608
Headphones 1,13.252,9.0658,3.5784
Headphones 2,13.252,7.3622,2.6158
Headphones 1,13.348,8.7698,3.6004
Headphones 2,13.348,7.825,2.5946
Headphones 1,13.445,8.4696,3.6326
Headphones 2,13.445,8.3072,2.5482
Headphones 1,13.543,8.1978,3.6646
Headphones 2,13.543,8.7584,2.4852
Headphones 1,13.641,8.0048,3.686
Headphones 2,13.641,9.1236,2.417
Headphones 1,13.74,7.963,3.6996
Headphones 2,13.74,9.3564,2.3584
Headphones 1,13.839,8.1364,3.7072
Headphones 2,13.839,9.4328,2.3236
Headphones 1,13.939,8.516,3.7268
Headphones 2,13.939,9.3542,2.3346
Headphones 1,14.04,9.0438,3.7758
Headphones 2,14.04,9.1374,2.3978
Headphones 1,14.142,9.6814,3.8746
Headphones 2,14.142,8.8046,2.5026
Headphones 1,14.245,10.3482,4.0302
Headphones 2,14.245,8.3786,2.6322
Headphones 1,14.348,10.9592,4.2494
Headphones 2,14.348,7.91,2.7622
Headphones 1,14.452,11.4454,4.5046
Headphones 2,14.452,7.455,2.8662
Headphones 1,14.557,11.719,4.7582
Headphones 2,14.557,7.0636,2.9216
Headphones 1,14.662,11.7112,4.9582
Headphones 2,14.662,6.752,2.9148
Headphones 1,14.768,11.4048,5.068
Headphones 2,14.768,6.4948,2.8412
Headphones 1,14.875,10.8484,5.0662
Headphones 2,14.875,6.2512,2.7066
Headphones 1,14.983,10.111,4.9584
Headphones 2,14.983,5.9808,2.5282
Headphones 1,15.092,9.2794,4.7674
Headphones 2,15.092,5.6574,2.3312
Headphones 1,15.201,8.4368,4.5344
Headphones 2,15.201,5.281,2.1434
Headphones 1,15.311,7.6758,4.3022
Headphones 2,15.311,4.8744,1.9926
Headphones 1,15.422,7.0772,4.11
Headphones 2,15.422,4.4748,1.8986
Headphones 1,15.534,6.6888,3.9792
Headphones 2,15.534,4.1244,1.862
Headphones 1,15.646,6.5302,3.9096
Headphones 2,15.646,3.8566,1.8668
Headphones 1,15.76,6.4716,3.8808
Headphones 2,15.76,3.6814,1.8948
Headphones 1,15.874,6.3804,3.8692
Headphones 2,15.874,3.599,1.9278
Headphones 1,15.989,6.1816,3.8612
Headphones 2,15.989,3.601,1.9494
Headphones 1,16.105,5.8514,3.8506
Headphones 2,16.105,3.6732,1.9542
Headphones 1,16.222,5.429,3.8372
Headphones 2,16.222,3.7966,1.9428
Headphones 1,16.339,4.986,3.8252
Headphones 2,16.339,3.9712,1.9236
Headphones 1,16.458,4.6154,3.8194
Headphones 2,16.458,4.1844,1.9176
Headphones 1,16.577,4.3846,3.8268
Headphones 2,16.577,4.4078,1.9302
Headphones 1,16.697,4.2918,3.8416
Headphones 2,16.697,4.6166,1.9544
Headphones 1,16.818,4.2926,3.8588
Headphones 2,16.818,4.7898,1.9806
Headphones 1,16.94,4.3216,3.8682
Headphones 2,16.94,4.9108,1.9938
Headphones 1,17.063,4.3578,3.8688
Headphones 2,17.063,4.9642,1.9828
Headphones 1,17.186,4.4104,3.8584
Headphones 2,17.186,4.9364,1.9478
Headphones 1,17.311,4.4662,3.8408
Headphones 2,17.311,4.8236,1.9002
Headphones 1,17.436,4.5046,3.8222
Headphones 2,17.436,4.6268,1.8578
Headphones 1,17.562,4.5372,3.8042
Headphones 2,17.562,4.3572,1.8392
Headphones 1,17.69,4.5464,3.7918
Headphones 2,17.69,4.0406,1.8566
Headphones 1,17.818,4.5158,3.7836
Headphones 2,17.818,3.7222,1.9172
Headphones 1,17.947,4.4482,3.7804
Headphones 2,17.947,3.4584,1.9888
Headphones 1,18.077,4.3932,3.7874
Headphones 2,18.077,3.316,2.0424
Headphones 1,18.208,4.372,3.8054
Headphones 2,18.208,3.3142,2.0624
Headphones 1,18.34,4.3728,3.8336
Headphones 2,18.34,3.448,2.042
Headphones 1,18.473,4.377,3.8682
Headphones 2,18.473,3.6886,1.989
Headphones 1,18.607,4.3582,3.9026
Headphones 2,18.607,3.9672,1.9214
Headphones 1,18.742,4.3396,3.9358
Headphones 2,18.742,4.235,1.8642
Headphones 1,18.877,4.4438,3.9808
Headphones 2,18.877,4.4722,1.843
Headphones 1,19.014,4.9068,4.0652
Headphones 2,19.014,4.6738,1.8728
Headphones 1,19.152,5.7796,4.2076
Headphones 2,19.152,4.8462,1.9498
Headphones 1,19.291,6.86,4.393
Headphones 2,19.291,4.9968,2.0438
Headphones 1,19.431,7.9484,4.5946
Headphones 2,19.431,5.1326,2.1218
Headphones 1,19.571,8.8052,4.7644
Headphones 2,19.571,5.243,2.1576
Headphones 1,19.713,9.2168,4.8538
Headphones 2,19.713,5.2658,2.1338
Headphones 1,19.856,9.0782,4.841
Headphones 2,19.856,5.14,2.0512
Headphones 1,20,8.4252,4.742
Headphones 2,20,4.841,1.9282
Headphones 1,20.145,7.4156,4.5986
Headphones 2,20.145,4.3952,1.7928
Headphones 1,20.291,6.2778,4.459
Headphones 2,20.291,3.8782,1.6804
Headphones 1,20.438,5.241,4.3578
Headphones 2,20.438,3.3784,1.5942
Headphones 1,20.586,4.4862,4.3022
Headphones 2,20.586,2.9796,1.5348
Headphones 1,20.735,4.024,4.2702
Headphones 2,20.735,2.7138,1.4946
Headphones 1,20.885,3.6742,4.2366
Headphones 2,20.885,2.5476,1.4626
Headphones 1,21.037,3.3494,4.1942
Headphones 2,21.037,2.4346,1.4298
Headphones 1,21.189,3.0448,4.1492
Headphones 2,21.189,2.3726,1.391
Headphones 1,21.343,2.805,4.1106
Headphones 2,21.343,2.3312,1.3774
Headphones 1,21.497,2.7046,4.0808
Headphones 2,21.497,2.3246,1.3936
Headphones 1,21.653,2.7016,4.056
Headphones 2,21.653,2.3586,1.424
Headphones 1,21.81,2.7232,4.033
Headphones 2,21.81,2.4256,1.4618
Headphones 1,21.968,2.7216,4.0118
Headphones 2,21.968,2.4938,1.4934
Headphones 1,22.127,2.695,3.9978
Headphones 2,22.127,2.5582,1.513
Headphones 1,22.288,2.6752,3.9996
Headphones 2,22.288,2.588,1.525
Headphones 1,22.449,2.696,4.0208
Headphones 2,22.449,2.6272,1.5334
Headphones 1,22.612,2.7324,4.0544
Headphones 2,22.612,2.7214,1.538
Headphones 1,22.776,2.7502,4.0914
Headphones 2,22.776,2.835,1.541
Headphones 1,22.941,2.7348,4.1252
Headphones 2,22.941,2.919,1.5438
